date,areaType,areaCode,areaName,newDeaths28DaysByDeathDateRate
"2020-08-15",overview,K02000001,United Kingdom,0
"2020-08-14",overview,K02000001,United Kingdom,0
"2020-08-13",overview,K02000001,United Kingdom,0
"2020-08-12",overview,K02000001,United Kingdom,0
"2020-08-11",overview,K02000001,United Kingdom,0
"2020-08-10",overview,K02000001,United Kingdom,0
"2020-08-09",overview,K02000001,United Kingdom,0
"2020-08-08",overview,K02000001,United Kingdom,0
"2020-08-07",overview,K02000001,United Kingdom,0
"2020-08-06",overview,K02000001,United Kingdom,0
"2020-08-05",overview,K02000001,United Kingdom,0
"2020-08-04",overview,K02000001,United Kingdom,0
"2020-08-03",overview,K02000001,United Kingdom,0
"2020-08-02",overview,K02000001,United Kingdom,0
"2020-08-01",overview,K02000001,United Kingdom,0
"2020-07-31",overview,K02000001,United Kingdom,0
"2020-07-30",overview,K02000001,United Kingdom,0
"2020-07-29",overview,K02000001,United Kingdom,0
"2020-07-28",overview,K02000001,United Kingdom,0
"2020-07-27",overview,K02000001,United Kingdom,0
"2020-07-26",overview,K02000001,United Kingdom,0
"2020-07-25",overview,K02000001,United Kingdom,0
"2020-07-24",overview,K02000001,United Kingdom,0
"2020-07-23",overview,K02000001,United Kingdom,0
"2020-07-22",overview,K02000001,United Kingdom,0
"2020-07-21",overview,K02000001,United Kingdom,0
"2020-07-20",overview,K02000001,United Kingdom,0
"2020-07-19",overview,K02000001,United Kingdom,0
"2020-07-18",overview,K02000001,United Kingdom,0
"2020-07-17",overview,K02000001,United Kingdom,0
"2020-07-16",overview,K02000001,United Kingdom,0
"2020-07-15",overview,K02000001,United Kingdom,0
"2020-07-14",overview,K02000001,United Kingdom,0
"2020-07-13",overview,K02000001,United Kingdom,0
"2020-07-12",overview,K02000001,United Kingdom,0
"2020-07-11",overview,K02000001,United Kingdom,0
"2020-07-10",overview,K02000001,United Kingdom,0
"2020-07-09",overview,K02000001,United Kingdom,0.1
"2020-07-08",overview,K02000001,United Kingdom,0
"2020-07-07",overview,K02000001,United Kingdom,0
"2020-07-06",overview,K02000001,United Kingdom,0.1
"2020-07-05",overview,K02000001,United Kingdom,0
